paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,published_date,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding
10.21079/11681/50309,Microsoft Azure artificial intelligence / machine learning hackathon for development of retrieval-augmented generation large language model,UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE ,"['Janet L. Autrey', 'Lacey S. Duckworth', 'Ashly N. Horner', 'Thomas Sigler', 'Victoria D. Moore']",[],,2025-07-01,2026-07-10,https://doi.org/10.21079/11681/50309,https://doi.org/10.21079/11681/50309,,2025-07-01,451,Janet L. Autrey; Lacey S. Duckworth; Ashly N. Horner; Thomas Sigler; Victoria D. Moore,,192,"Title: Microsoft Azure artificial intelligence / machine learning hackathon for development of retrieval-augmented generation large language model
Authors: Janet L. Autrey; Lacey S. Duckworth; Ashly N. Horner; Thomas Sigler; Victoria D. Moore
Published: 2025-07-01
Categories: 
Summary: UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE "
10.63646/kpqm1958,The Age,"The rapid evolution of large language models (LLMs) has catalyzed a shift from passive AI systems toward autonomous agentic architectures capable of reasoning, memory, tool use, and multi-agent collaboration. This bibliometric review characterizes the emerging field through 810 publications retrieved from the Web of Science Core Collection for the period 2023–2025. Annual output rose sharply over this window—from 4 publications in 2023 to 96 in 2024 and 710 in 2025—accompanied by a parallel rise in citations, indicating rapid mainstream adoption. Author-keyword analysis reveals a landscape dominated by large language models, artificial intelligence, and multi-agent systems, with agentic AI, generative AI, and retrieval-augmented generation (RAG) emerging as core themes. Research output is geographically concentrated, led by China and the United States, and is distributed across a broad range of engineering, applied-science, and domain-specific journals rather than a single specialist venue, reflecting the field's cross-disciplinary uptake. Synthesizing this corpus, we organize the technical landscape around reasoning, memory, tool integration and RAG, and multi-agent orchestration; survey application domains spanning healthcare, scientific discovery, education, and software engineering, with emerging activity in finance and law; and analyze the principal challenges—hallucination, trust and robustness, inter-agent coordination, scalability, and governance. The review provides a structured, evidence-based map of agentic AI research to orient researchers and practitioners navigating this rapidly evolving field.","['Ben J. Weber', 'Clara M. Hofmann', 'Amara N. Okoye']",[],,2026-06-30,2026-07-17,https://doi.org/10.63646/kpqm1958,https://doi.org/10.63646/kpqm1958,,2026-06-30T00:00:00.000,87,Ben J. Weber; Clara M. Hofmann; Amara N. Okoye,,1635,"Title: The Age
Authors: Ben J. Weber; Clara M. Hofmann; Amara N. Okoye
Published: 2026-06-30
Categories: 
Summary: The rapid evolution of large language models (LLMs) has catalyzed a shift from passive AI systems toward autonomous agentic architectures capable of reasoning, memory, tool use, and multi-agent collaboration. This bibliometric review characterizes the emerging field through 810 publications retrieved from the Web of Science Core Collection for the period 2023–2025. Annual output rose sharply over this window—from 4 publications in 2023 to 96 in 2024 and 710 in 2025—accompanied by a parallel rise in citations, indicating rapid mainstream adoption. Author-keyword analysis reveals a landscape dominated by large language models, artificial intelligence, and multi-agent systems, with agentic AI, generative AI, and retrieval-augmented generation (RAG) emerging as core themes. Research output is geographically concentrated, led by China and the United States, and is distributed across a broad range of engineering, applied-science, and domain-specific journals rather than a single specialist venue, reflecting the field's cross-disciplinary uptake. Synthesizing this corpus, we organize the technical landscape around reasoning, memory, tool integration and RAG, and multi-agent orchestration; survey application domains spanning healthcare, scientific discovery, education, and software engineering, with emerging activity in finance and law; and analyze the principal challenges—hallucination, trust and robustness, inter-agent coordination, scalability, and governance. The review provides a structured, evidence-based map of agentic AI research to orient researchers and practitioners navigating this rapidly evolving field."
10.21203/rs.3.rs-10012178/v1,"Retrieval-Augmented Generation (RAG), Generative AI, and Agentic AI Governance: An Integrated Enterprise Governance Prioritization Architecture",,"['Audrey Rah', 'Sven Hahues']",[],,2025-06-15,2026-06-15,https://doi.org/10.21203/rs.3.rs-10012178/v1,https://doi.org/10.21203/rs.3.rs-10012178/v1,,2025-06-15,467,Audrey Rah; Sven Hahues,,0,"Title: Retrieval-Augmented Generation (RAG), Generative AI, and Agentic AI Governance: An Integrated Enterprise Governance Prioritization Architecture
Authors: Audrey Rah; Sven Hahues
Published: 2025-06-15
Categories: 
Summary: "
10.47576/2949-1894.2026.7.7.023,Снижение рисков применения LLM (Large Language Model) в сфере экономической безопасности предприятий молочной промышленности на основе подхода RAG (Retrieval-Augmented Generation),UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE ,"['И.В. Ермаков', 'В.В. Филатов']",[],,2026-06-15,2026-06-17,https://doi.org/10.47576/2949-1894.2026.7.7.023,https://doi.org/10.47576/2949-1894.2026.7.7.023,,2026-06-15T00:00:00.000,102,И.В. Ермаков; В.В. Филатов,,192,"Title: Снижение рисков применения LLM (Large Language Model) в сфере экономической безопасности предприятий молочной промышленности на основе подхода RAG (Retrieval-Augmented Generation)
Authors: И.В. Ермаков; В.В. Филатов
Published: 2026-06-15
Categories: 
Summary: UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE "
10.52060/juptik.v4i1.4318,Chatbot,"Aksesibilitas dokumen digital Fatwa Majelis Ulama Indonesia (MUI) yang terfragmentasi membuat pencarian informasi kurang efektif. Di sisi lain, sistem tanya jawab AI berbasis satu sumber dokumen (single-corpus) rentan menghasilkan jawaban tidak akurat (halusinasi) pada pertanyaan di luar domain. Penelitian ini mengembangkan Chatbot Hybrid Fatwa MUI menggunakan arsitektur Hybrid Retrieval bertingkat dengan dua sumber pengetahuan: dokumen Fatwa MUI sebagai korpus utama dan 12.370 hadis Bukhari-Muslim sebagai mekanisme cadangan (fallback). Sistem ini menerapkan pencarian semantik, verifikasi topik otomatis oleh model bahasa, dan pengalihan ke basis data hadis jika konteks fatwa dinilai tidak relevan. Hasil evaluasi menunjukkan peningkatan kesamaan makna jawaban sebesar 13,23% (dari 0,6664 menjadi 0,7546) dan peningkatan kesetiaan pada rujukan (faithfulness) sebesar 10,57% (dari 85,37% menjadi 94,39%), dengan tingkat penolakan (abstain rate) identik sebesar 26,83%. Pendekatan multi-korpus ini terbukti signifikan meningkatkan relevansi dan keakuratan jawaban dibandingkan RAG standar.","['Surya Hidayatullah Firdaus', 'Nazruddin Safaat H', 'Yelfi Vitriani', 'Novriyanto']",[],,2025-06-01,2026-07-04,https://doi.org/10.52060/juptik.v4i1.4318,https://doi.org/10.52060/juptik.v4i1.4318,,2025-06-01,481,Surya Hidayatullah Firdaus; Nazruddin Safaat H; Yelfi Vitriani; Novriyanto,,1095,"Title: Chatbot
Authors: Surya Hidayatullah Firdaus; Nazruddin Safaat H; Yelfi Vitriani; Novriyanto
Published: 2025-06-01
Categories: 
Summary: Aksesibilitas dokumen digital Fatwa Majelis Ulama Indonesia (MUI) yang terfragmentasi membuat pencarian informasi kurang efektif. Di sisi lain, sistem tanya jawab AI berbasis satu sumber dokumen (single-corpus) rentan menghasilkan jawaban tidak akurat (halusinasi) pada pertanyaan di luar domain. Penelitian ini mengembangkan Chatbot Hybrid Fatwa MUI menggunakan arsitektur Hybrid Retrieval bertingkat dengan dua sumber pengetahuan: dokumen Fatwa MUI sebagai korpus utama dan 12.370 hadis Bukhari-Muslim sebagai mekanisme cadangan (fallback). Sistem ini menerapkan pencarian semantik, verifikasi topik otomatis oleh model bahasa, dan pengalihan ke basis data hadis jika konteks fatwa dinilai tidak relevan. Hasil evaluasi menunjukkan peningkatan kesamaan makna jawaban sebesar 13,23% (dari 0,6664 menjadi 0,7546) dan peningkatan kesetiaan pada rujukan (faithfulness) sebesar 10,57% (dari 85,37% menjadi 94,39%), dengan tingkat penolakan (abstain rate) identik sebesar 26,83%. Pendekatan multi-korpus ini terbukti signifikan meningkatkan relevansi dan keakuratan jawaban dibandingkan RAG standar."
10.55041/isjem07213,Speculative Retrieval-Augmented Generation for Cost-Efficient Large Language Model Inference,,"['Dr. Sumalatha P', 'Manoj Kumar']",[],,2026-05-06,2026-05-06,https://doi.org/10.55041/isjem07213,https://doi.org/10.55041/isjem07213,,2026-05-06T00:00:00.000,142,Dr. Sumalatha P; Manoj Kumar,,0,"Title: Speculative Retrieval-Augmented Generation for Cost-Efficient Large Language Model Inference
Authors: Dr. Sumalatha P; Manoj Kumar
Published: 2026-05-06
Categories: 
Summary: "
10.1093/sleep/zsag091.0346,0346 Retrieval Augmented Generation Improves Large Language Model Performance in Sleep Medicine,UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE ,"['Joseph Cheung', 'Pengze Li', 'Anshum Patel', 'SaiKrishna Vallamchetla', 'Het Contractor', 'Hayden Heninger', 'Cui Tao']",[],,2025-05-01,2026-05-09,https://doi.org/10.1093/sleep/zsag091.0346,https://doi.org/10.1093/sleep/zsag091.0346,,2025-05-01,512,Joseph Cheung; Pengze Li; Anshum Patel; SaiKrishna Vallamchetla; Het Contractor; Hayden Heninger; Cui Tao,,192,"Title: 0346 Retrieval Augmented Generation Improves Large Language Model Performance in Sleep Medicine
Authors: Joseph Cheung; Pengze Li; Anshum Patel; SaiKrishna Vallamchetla; Het Contractor; Hayden Heninger; Cui Tao
Published: 2025-05-01
Categories: 
Summary: UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE "
10.20944/preprints202604.0339.v1,Retriev,"This study investigates a method that integrates retrieval-augmented mechanisms into large language model agents for scientific literature review generation. The approach addresses the limitations of traditional review models that rely on parametric knowledge with insufficient timeliness and limited coverage. Incorporating external document retrieval and dynamic information fusion into the generation process enhances the accuracy and completeness of the output. The overall framework consists of query encoding, semantic retrieval, document filtering, knowledge fusion, language modeling, task planning, memory storage, and reinforcement optimization, forming a closed loop of retrieval, understanding, and generation. Relevant document fragments are first retrieved through semantic vector search to ensure comprehensive and reliable information sources. These external representations are then integrated with the internal embeddings of the language model through weighted fusion, which preserves fluency while maintaining factual grounding. The task planning module constrains logical flow and text structure, and reinforcement learning optimization further improves relevance and consistency. Comparative experiments on large-scale scientific literature datasets demonstrate that the method outperforms existing approaches on ROUGE, BLEU, METEOR, and diversity metrics, validating its effectiveness and practicality. The findings show that combining retrieval augmentation with agent architectures can significantly improve coverage, accuracy, and language quality in review generation, providing a feasible solution for knowledge organization in complex literature environments.","['Ruotong Wang', 'Nyutian Long', 'Shunqi Liu', 'Yuxi Wang', 'Zhen Qi', 'Huajun Zhang']",[],,2026-04-06,2026-04-07,https://doi.org/10.20944/preprints202604.0339.v1,https://doi.org/10.20944/preprints202604.0339.v1,,2026-04-06T00:00:00.000,172,Ruotong Wang; Nyutian Long; Shunqi Liu; Yuxi Wang; Zhen Qi; Huajun Zhang,,1687,"Title: Retriev
Authors: Ruotong Wang; Nyutian Long; Shunqi Liu; Yuxi Wang; Zhen Qi; Huajun Zhang
Published: 2026-04-06
Categories: 
Summary: This study investigates a method that integrates retrieval-augmented mechanisms into large language model agents for scientific literature review generation. The approach addresses the limitations of traditional review models that rely on parametric knowledge with insufficient timeliness and limited coverage. Incorporating external document retrieval and dynamic information fusion into the generation process enhances the accuracy and completeness of the output. The overall framework consists of query encoding, semantic retrieval, document filtering, knowledge fusion, language modeling, task planning, memory storage, and reinforcement optimization, forming a closed loop of retrieval, understanding, and generation. Relevant document fragments are first retrieved through semantic vector search to ensure comprehensive and reliable information sources. These external representations are then integrated with the internal embeddings of the language model through weighted fusion, which preserves fluency while maintaining factual grounding. The task planning module constrains logical flow and text structure, and reinforcement learning optimization further improves relevance and consistency. Comparative experiments on large-scale scientific literature datasets demonstrate that the method outperforms existing approaches on ROUGE, BLEU, METEOR, and diversity metrics, validating its effectiveness and practicality. The findings show that combining retrieval augmentation with agent architectures can significantly improve coverage, accuracy, and language quality in review generation, providing a feasible solution for knowledge organization in complex literature environments."
10.63125/gseh0k17,A Foundation Model Architecture for Supply Chain Risk Prediction: Integrating Large Language Models and Retrieval-Augmented Generation for Automated Disruption Alerting,,['Nadia Islam Tanha'],[],,2025-04-01,2026-08-11,https://doi.org/10.63125/gseh0k17,https://doi.org/10.63125/gseh0k17,,2025-04-01,542,Nadia Islam Tanha,,0,"Title: A Foundation Model Architecture for Supply Chain Risk Prediction: Integrating Large Language Models and Retrieval-Augmented Generation for Automated Disruption Alerting
Authors: Nadia Islam Tanha
Published: 2025-04-01
Categories: 
Summary: "
10.28932/jutisi.v12i2.13099,Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model,,"['Muhamad Komarudin', 'Chelly Sabrina', 'Yessy Mulyani', 'Puput Budi Wintoro']",[],,2025-08-27,2026-09-02,https://doi.org/10.28932/jutisi.v12i2.13099,https://doi.org/10.28932/jutisi.v12i2.13099,,2025-08-27,394,Muhamad Komarudin; Chelly Sabrina; Yessy Mulyani; Puput Budi Wintoro,,0,"Title: Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model
Authors: Muhamad Komarudin; Chelly Sabrina; Yessy Mulyani; Puput Budi Wintoro
Published: 2025-08-27
Categories: 
Summary: "
10.21203/rs.3.rs-10423755/v1,Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study,UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE ,"['Yizhang Huang', 'Xinhui Zhang']",[],,2026-08-26,2026-08-26,https://doi.org/10.21203/rs.3.rs-10423755/v1,https://doi.org/10.21203/rs.3.rs-10423755/v1,,2026-08-26T00:00:00.000,30,Yizhang Huang; Xinhui Zhang,,192,"Title: Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study
Authors: Yizhang Huang; Xinhui Zhang
Published: 2026-08-26
Categories: 
Summary: UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE UNRELATED NOISE "
